pref_code,code,lg_code,parent_code,type,ja,ja_hira,en,zh-CN,zh-TW,ko,pt,vi
01,01100,011002,,designated_city,札幌市,さっぽろし,Sapporo-shi,札幌市,札幌市,삿포로시,Sapporo-xi,Trát Hoảng thị
01,01101,011010,01100,ward,中央区,ちゅうおうく,Chuo-ku,中央区,中央區,주오구,Xūō-cu,Trung Ương khu
01,01102,011029,01100,ward,北区,きたく,Kita-ku,北区,北區,기타구,Quita-cu,Bắc khu
01,01103,011037,01100,ward,東区,ひがしく,Higashi-ku,东区,東區,히가시구,Higaxi-cu,Đông khu
01,01104,011045,01100,ward,白石区,しろいしく,Shiraishi-ku,白石区,白石區,시로이시구,Xiroixi-cu,Bạch Thạch khu
01,01105,011053,01100,ward,豊平区,とよひらく,Toyohira-ku,丰平区,豐平區,도요히라구,Toyohira-cu,Phong Bình khu
01,01106,011061,01100,ward,南区,みなみく,Minami-ku,南区,南區,미나미구,Minami-cu,Nam khu
01,01107,011070,01100,ward,西区,にしく,Nishi-ku,西区,西區,니시구,Nixi-cu,Tây khu
01,01108,011088,01100,ward,厚別区,あつべつく,Atsubetsu-ku,厚别区,厚別區,아쓰베쓰구,Atçubetçu-cu,Hậu Biệt khu
01,01109,011096,01100,ward,手稲区,ていねく,Teine-ku,手稻区,手稻區,데이네구,Teine-cu,Thủ Đãng khu
01,01110,011100,01100,ward,清田区,きよたく,Kiyota-ku,清田区,清田區,기요타구,Quiyota-cu,Thanh Điền khu
01,01202,012025,,city,函館市,はこだてし,Hakodate-shi,函馆市,函館市,하코다테시,Hacodate-xi,Hàm Quán thị
01,01203,012033,,city,小樽市,おたるし,Otaru-shi,小樽市,小樽市,오타루시,Otaru-xi,Tiểu Tôn thị
01,01204,012041,,city,旭川市,あさひかわし,Asahikawa-shi,旭川市,旭川市,아사히카와시,Asahicawa-xi,Húc Xuyên thị
01,01205,012050,,city,室蘭市,むろらんし,Muroran-shi,室兰市,室蘭市,무로란시,Muroran-xi,Thất Lan thị
01,01206,012068,,city,釧路市,くしろし,Kushiro-shi,钏路市,釧路市,구시로시,Cuxiro-xi,Xuyên Lộ thị
01,01207,012076,,city,帯広市,おびひろし,Obihiro-shi,带广市,帶廣市,오비히로시,Obihiro-xi,Đới Quảng thị
01,01208,012084,,city,北見市,きたみし,Kitami-shi,北见市,北見市,기타미시,Quitami-xi,Bắc Kiến thị
01,01209,012092,,city,夕張市,ゆうばりし,Yubari-shi,夕张市,夕張市,유바리시,Yūbari-xi,Tịch Trương thị
01,01210,012106,,city,岩見沢市,いわみざわし,Iwamizawa-shi,岩见泽市,岩見澤市,이와미자와시,Iwamizawa-xi,Nham Kiến Trạch thị
01,01211,012114,,city,網走市,あばしりし,Abashiri-shi,网走市,網走市,아바시리시,Abaxiri-xi,Võng Tẩu thị
01,01212,012122,,city,留萌市,るもいし,Rumoi-shi,留萌市,留萌市,루모이시,Rumoi-xi,Lưu Manh thị
01,01213,012130,,city,苫小牧市,とまこまいし,Tomakomai-shi,苫小牧市,苫小牧市,도마코마이시,Tomacomai-xi,Thổ Tiểu Mục thị
01,01214,012149,,city,稚内市,わっかないし,Wakkanai-shi,稚内市,稚內市,왓카나이시,Waccanai-xi,Trĩ Nội thị
01,01215,012157,,city,美唄市,びばいし,Bibai-shi,美呗市,美唄市,비바이시,Bibai-xi,Mỹ Bái thị
01,01216,012165,,city,芦別市,あしべつし,Ashibetsu-shi,芦别市,蘆別市,아시베쓰시,Axibetçu-xi,Lư Biệt thị
01,01217,012173,,city,江別市,えべつし,Ebetsu-shi,江别市,江別市,에베쓰시,Ebetçu-xi,Giang Biệt thị
